SampleID,Fire,Transect,Replicate,Timepoint,Kingdom,BurnCat,Date,Timeframe,otu.H.fun,otu.N1,otu.N2,S.obs,initialchar,OM,P1,HCO3_P,PH,K,NA.,H,CEC,S,CopyNumber,PCA1,PCA2
FSRPL2AT2,Tenaja,L2,A,Nov,Fungi,Unburned,19-Nov-19,2.5 Months,4.189548774,65.99300651,28.8911507,214,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,42715.72001,0.036321438,-0.134019692
FSRPL2BT1,Tenaja,L2,B,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.06068392,58.01397442,32.16899417,197,80,6.7,24.3,12.8,6,223.8,37.2,2.4,15.9,9.8,90253.45678,-0.46173447,-1.063635938
FSRPL2BT2,Tenaja,L2,B,Nov,Fungi,Burned,19-Nov-19,2.5 Months,3.466708775,32.03114706,11.50662493,196,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,188796.7221,-0.46173447,-1.063635938
FSRPL2CT1,Tenaja,L2,C,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.61124525,100.6093555,47.39177184,315,45,6.3,16.3,9.8,6.2,169.4,59.3,2.2,18.6,11.5,54556.57289,-0.068577528,-2.516905581
FSRPL2CT2,Tenaja,L2,C,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.68452323,108.2586455,57.68386875,285,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,76970.49446,-0.068577528,-2.516905581
FSRPL2DT1,Tenaja,L2,D,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,4.332255506,76.11577266,37.04251996,311,91.5,6.2,39.9,22.1,6,253.1,48.3,2.2,14.8,11.7,81492.46176,-0.845734752,-1.330318808
FSRPL2DT2,Tenaja,L2,D,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.077342364,58.9884914,27.84110835,203,91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,62292.48425,-0.845734752,-1.330318808
FSRPL2ET1,Tenaja,L2,E,1st Postfire,Fungi,Burned,5-Nov-19,2 Months,3.91857676,50.32876386,17.86103263,256,86.5,6.1,51,30.2,6,329.3,30.1,2.5,16.8,16,53807.90727,-2.863059187,-1.902841931
FSRPL2ET2,Tenaja,L2,E,Nov,Fungi,Burned,19-Nov-19,2.5 Months,4.316559338,74.93037419,32.48680451,259,86.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,73080.26405,-2.863059187,-1.902841931
FSRPL2p5AT1,Tenaja,L2.5,A,1st Postfire,Fungi,Unburned,5-Nov-19,2 Months,4.697646671,109.6887348,54.82583755,363,0,7.9,22.6,15.5,5.8,141.6,39.6,3.5,18.6,10.6,89458.37758,0.000317876,-2.365987428
FSRPL2p5AT2,Tenaja,L2.5,A,Nov,Fungi,Unburned,19-Nov-19,2.5 Months,4.535556194,93.27538009,46.92275498,283,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,270885.7334,0.000317876,-2.365987428
FSRPL3AT1,Tenaja,L3,A,1st Postfire,Fungi,Unburned,5-Nov-19,2 Months,4.886288211,132.4609932,58.49086871,441,0,5.8,33.6,18.8,6,218.1,30.5,2.2,14.6,8.4,92890.54517,-0.764925133,0.323356252
FSRPL3AT2,Tenaja,L3,A,Nov,Fungi,Unburned,19-Nov-19,2.5 Months,4.649003548,104.4808236,38.82310376,344,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,127055.344,-0.764925133,0.323356252
