SampleID,Fire,Transect,Replicate,Timepoint,Kingdom,BurnCat,Date,Timeframe,otu.H,otu.N1,otu.N2,S.obs,initialchar,OM,P1,HCO3_P,PH,K,NA.,H,CEC,S,CopyNumber,PCA1,PCA2
B49BU1DT4,Burro,L1,D,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.239319722,512.5097434,349.1728267,789,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,505117.0553,-1.238895575,0.872359444
B50BU1ET4,Burro,L1,E,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.356353662,576.1417141,394.2260719,909,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,547601.0912,1.185138457,1.235264657
B51BU2AT4,Burro,L2,A,Nov,Bacteria,Unburned,23-Nov-18,6 Months,6.469532995,645.1823533,450.8178001,967,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,570611.2316,1.100600318,-0.073701851
B52BU2BT4,Burro,L2,B,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.720735511,829.4273398,438.5740818,1403,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,2699529.187,1.495037877,0.474895386
B53BU2CT4,Burro,L2,C,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.577770818,718.9349047,363.3835577,1269,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,2674569.238,1.586317996,-0.064742764
B54BU2DT4,Burro,L2,D,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.37388196,586.3295243,386.4621762,897,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,391107.2903,-0.64149075,0.977548544
B55BU2ET4,Burro,L2,E,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.557389438,704.4303331,455.6365387,1077,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,795149.6926,1.638918141,0.496417665
B56BU3AT4,Burro,L3,A,Nov,Bacteria,Unburned,23-Nov-18,6 Months,6.384491582,592.5833761,384.0483076,922,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,597282.3893,1.51353906,-0.722742335
B57BU3BT4,Burro,L3,B,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.361491715,579.1095787,360.5200711,930,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,511964.5439,1.615859153,-1.142222092
B58BU3CT4,Burro,L3,C,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.604998523,738.7787779,484.1884027,1144,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,733342.2085,1.078892681,-0.661429339
B59BU3DT4,Burro,L3,D,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.795496915,893.8132989,484.1652956,1487,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,626013.9305,1.401336979,0.954914538
B60BU3ET4,Burro,L3,E,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.497773579,663.662395,330.6624119,1113,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,15599886.17,1.202591467,-0.795755391
B61BU1AT5,Burro,L1,A,May,Bacteria,Unburned,23-May-19,12 Months,6.4708395,646.0258378,454.4731136,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,560134.5811,0.955203346,1.372773265
